Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Steak,3 oz.,85,330,20,27,25,0,0,"Meat, Poultry"
Lean round steak,3 oz.,85,220,24,12,11,0,0,"Meat, Poultry"
Corned beef,3 oz.,85,185,22,10,9,0,0,"Meat, Poultry"
Canned and corned beef hash,3 oz.,85,120,12,8,7,t,6,"Meat, Poultry"
Pot pie,1 pie,227,480,18,28,25,t,32,"Meat, Poultry"
Corned beef hash Stew,1 cup,235,185,15,10,9,t,15,"Meat, Poultry"
chicken,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry"
Fried chicken,3 oz.,85,245,25,15,11,0,0,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,"Meat, Poultry"
Fried chicken livers,3 med.,100,140,22,14,12,0,2.30,"Meat, Poultry"
Duck,3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry"
Broiled Lamb,4 oz.,115,480,24,35,33,0,0,"Meat, Poultry"
pan broiled Ham,3 oz.,85,290,16,22,19,0,0,"Meat, Poultry"
Spiced Canned Ham,2 oz.,57,165,8,14,12,0,1,"Meat, Poultry"
Pork roast,3 oz.,85,310,21,24,21,0,0,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100,475,18,44,40,0,0,"Meat, Poultry"
Turkey,3 1/2 oz.,100,265,27,15,0,0,0,"Meat, Poultry"
Veal,3 oz.,85,185,23,9,8,0,0,"Meat, Poultry"
Clams,3 oz.,85,87,12,1,0,0,2,"Fish, Seafood"
Cod,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood"
Crab meat,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood"
Fish sticks fried,5,112,200,19,10,5,0,8,"Fish, Seafood"
Flounder,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood"
Haddock,3 oz.,85,135,16,5,4,0,6,"Fish, Seafood"
Halibut,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood"
Herring,1 small,100,211,22,13,0,0,0,"Fish, Seafood"
Lobster,aver.,100,92,18,1,0,0,t,"Fish, Seafood"
Mackerel,3 oz.,85,155,18,9,0,a,0,"Fish, Seafood"
Oysters,6 8 med.,230,231,232,233,234,235,236,"Fish, Seafood"
Oyster stew,1 cup,85,125,19,6,1,0,0,"Fish, Seafood"
Salmon,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood"
Sardines,3 oz.,85,180,22,9,4,0,0,"Fish, Seafood"
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood"
Shad,3 oz.,85,170,20,10,0,0,0,"Fish, Seafood"
Shrimp,3 oz.,85,110,23,1,0,0,0,"Fish, Seafood"
Swordfish,1 steak,100,180,27,6,0,0,0,"Fish, Seafood"
Tuna,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood"
Artichoke,1 large,100,8 44,2,t,t,2,10,Vegetables A E
Asparagus,6 spears,96,18,1,t,t,0.5,3,Vegetables A E
Lima beans,1 cup,160,140,8,t,t,3.0,24,Vegetables A E
Red kidney beans,1 cup,260,230,15,1,0,2.5,42,Vegetables A E
Bean sprouts,1 cup,50,17,1,t,0,0.3,3,Vegetables A E
Beet greens,1 cup,100,27,2,t,0,1.4,6,Vegetables A E
Beetroots,1 cup,165,1,12,0,,t,0.80,Vegetables A E
Broccoli,1 cup,150,45,5,t,0,1.9,8,Vegetables A E
Brussels sprouts,1 cup,130,60,6,t,0,1.7,12,Vegetables A E
Sauerkraut,1 cup,150,32,1,t,0,1.2,7,Vegetables A E
Steamed cabbage,1 cup,170,40,2,t,0,1.3,9,Vegetables A E
Carrots,1 cup,150,45,1,t,0,0.9,10,Vegetables A E
Cauliflower,1 cup,120,30,3,t,0,1,6,Vegetables A E
Celery,1 cup,100,20,1,t,0,1,4,Vegetables A E
Steamed chard,1 cup,150,30,2,t,0,1.4,7,Vegetables A E
Collards,1 cup,150,51,5,t,0,2,8,Vegetables A E
Corn,1 ear,100,92,3,1,t,0.8,21,Vegetables A E
Cucumbers,8,50,6,t,0,0,0.2,1,Vegetables A E
Dandelion greens,1 cup,180,80,5,1,0,3.2,16,Vegetables A E
Eggplant,1 cup,180,30,2,t,0,1.0,9,Vegetables A E
Endive,2 oz.,57,10,1,t,0,0.6,2,Vegetables A E
Kale,1 cup,110,45,4,1,0,0.9,8,Vegetables F P
Kohlrabi,1 cup,140,40,2,t,0,1.5,9,Vegetables F P
Steamed Lambs quarters,1 cup,150,48,5,t,0,3.2,7,Vegetables F P
Lentils,1 cup,200,212,15,t,0,2.4,38,Vegetables F P
Lettuce,1/4 head,100,14,1,t,0,0.5,2,Vegetables F P
Iceberg,1/4 head,100,13,t,t,0,0.5,3,Vegetables F P
Canned Mushrooms,4,120,12,2,t,0,t,4,Vegetables F P
Mustard greens,1,140,30,3,t,0,1.2,6,Vegetables F P
Okra,1 1/3 cups,100,32,1,t,0,1,7,Vegetables F P
Onions,1,210,80,2,t,0,1.6,18,Vegetables F P
Parsley,2 T.,50,2,t,t,0,t,t,Vegetables F P
Parsnips,1 cup,155,95,2,1,0,3,22,Vegetables F P
Peas,1 cup,100,66,3,t,0,0.1,13,Vegetables F P
Fresh steamed peas,1 cup,100,70,5,t,0,2.2,12,Vegetables R Z
Frozen peas,1 cup,100,,5,t,0,1.8,12,Vegetables R Z
Split cooked peas,4 cups,100,115,8,t,0,0.4,21,Vegetables R Z
Canned Peppers,1 pod,38,10,t,t,0,t,2,Vegetables R Z
Raw Peppers,1 large,100,25,1,t,0,1.4,6,Vegetables R Z
Baked Potatoes,1 med.,100,100,2,t,0,0.5,22,Vegetables R Z
French fries,10 pieces,60,155, 1,7,3,0.4,20,Vegetables R Z
Mashed potatoes with milk and butter,1 cup,200,230,4,12,11,0.7,28,Vegetables R Z
pan fried Potatoes,3/4 cup,100,268,4,14,6,0.40,33,Vegetables R Z
Steamed potatoes,1 med.,100,80,2,t,0,0.40,19,Vegetables R Z
Potato chips,10,20,110,1,7,4,t,10,Vegetables R Z
Radishes,5 small,50,10,t,0,0,0.3,2,Vegetables R Z
Rutabagas,4 cups,100,32,t,0,0,1.4,8,Vegetables R Z
Soybeans,1 cup,200,260,22,11,0,3.2,20,Vegetables R Z
Spinach,1 cup,100,26,3,t,0,1,3,Vegetables R Z
Squash,1 cup,210,35,1,t,0,0.6,8,Vegetables R Z
Sweet potatoes,1 med.,110,155,2,1,0,1,36,Vegetables R Z
Tomatoes,1 cup,240,50,2,t,0,1,9,Vegetables R Z
Tomato juice,1 cup,240,50,2,t,0,0.6,10,Vegetables R Z
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables R Z
Steamed Turnips,1 cup,155,40,1,t,0,1.8,9,Vegetables R Z
Raw Watercress stems,1 cup,50,9,1,t,0,0.3,1,Fruits A F
canned Apple juice,1 cup,250,125,t,0,0,0,34,Fruits A F
Apple vinegar,1/3 cup,100,14,t,0,0,0,3,Fruits A F
Apples,1 med,130,70,t,t,0,1,18,Fruits A F
Apricots,1 cup,250,220,2,t,0,1,57,Fruits A F
Nectar/juice,1 cup,250,140,1,t,0,2,36,Fruits A F
Avocado,1/2 large,108,185,2,18,12,1.80,6,Fruits A F
Banana,1 med.,150,85,1,t,0,0.9,23,Fruits A F
Blackberries,1 cup,144,85,2,1,0,6.60,19,Fruits A F
Blueberries,1 cup,250,245,1,t,0,2,65,Fruits A F
Cantaloupe,1/2 med.,380,40,1,t,0,2.20,9,Fruits A F
Cherries,1 cup,257,100,2,1,0,2,26,Fruits A F
Sweetened Cranberry sauce,1 cup,277,530,t,t,0,1.2,142,Fruits A F
Dates,1 cup,178,505,4,t,0,3.6,134,Fruits A F
Figs,3 med.,114,90,2,t,0,1,22,Fruits A F
Canned figs with syrup ,3,115,130,1,t,0,1,32,Fruits A F
Canned Fruit cocktail,1 cup,256,195,1,t,0,0.5,50,Fruits A F
Grapefruit sections,1 cup,250,170,1,t,0,0.5,44,Fruits G P
Grapefruit,1/2,285,50,1,t,t,1,14,Fruits G P
Grapefruit juice,1 cup,250,100,1,t,0,1,24,Fruits G P
Grapes,1 cup,153,70,1,t,0,0.8,16,Fruits G P
Grape juice,1 cup,250,160,1,t,0,t,42,Fruits G P
Lemon juice,1/2 cup,125,30,t,t,0,t,10,Fruits G P
Frozen lemonade concentrate,6 oz. can,220,430,t,t,0,t,112,Fruits G P
Frozen limeade concentrate,6 oz. can,218,405,t,t,0,t,108,Fruits G P
Large olives,10,65,72,1,10,9,0.8,3,Fruits G P
Ripe olives,10,65,105,1,13,12,1,1,Fruits G P
Oranges,1 med.,180,60,2,t,t,1,16,Fruits G P
Orange juice,8 oz. or,250,112,2,t,0,0.2,25,Fruits G P
Papaya,1/2 med.,200,75,1,t,0,1.8,18,Fruits G P
Peaches,1 cup,257,200,1,t,0,1,52,Fruits G P
Pears,1 cup,255,195,1,t,0,2,50,Fruits G P
Persimmons,1 med.,125,75,1,t,0,2,20,Fruits G P
Pineapple,1 large slice,122,95,t,t,0,0.4,26,Fruits G P
Pineapple juice,1 cup,250,120,1,t,0,0.2,32,Fruits G P
Plums,1 cup,256,185,1,t,0,0.7,50,Fruits G P
Prunes,1 cup,270,300,3,1,0,0.8,81,Fruits G P
Prune juice,1 cup,240,170,1,t,0,0.7,45,Fruits G P
Raisins,1/2 cup,88,230,2,t,0,0.7,82,Fruits R Z
Raspberries,1/2 cup,100,100,t,t,0,2,25,Fruits R Z
Sweetened Rhubarb,1 cup,270,385,1,t,0,1.9,98,Fruits R Z
Strawberries,1 cup,227,242,1,t,0,1.3,60,Fruits R Z
Tangerines,I med.,114,40,1,t,0,1,10,Fruits R Z
Watermelon,1 wedge,925,120,2,1,0,3.6,29,Fruits R Z
Biscuits,1,38,130,3,4,3,t,18,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25,117,3,t,0,0.10,32,"Breads, cereals, fastfood,grains"
Cracked wheat bread,1 slice,23,60,2,1,1,0.10,12,"Breads, cereals, fastfood,grains"
Rye,1 slice,23,55,2,1,1,0.10,12,"Breads, cereals, fastfood,grains"
White bread,1 lb. loaf,454,"1,225",39,15,12,9.00,229,"Breads, cereals, fastfood,grains"
Whole wheat,1 lb. loaf,454,"1,100",48,14,10,67.50,216,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25,110,2,t,0,0.1,25,"Breads, cereals, fastfood,grains"
Cooked corn grits,1 cup,242,120,8,t,0,0.2,27,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118,360,9,4,2,1.6,74,"Breads, cereals, fastfood,grains"
Crackers,2 med.,14,55,1,1,0,t,10,"Breads, cereals, fastfood,grains"
Soda,2,11,45,1,1,0,t,8,"Breads, cereals, fastfood,grains"
Flour,1 cup,110,460,39,22,0,2.9,33,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140,155,5,1,0,0.1,32,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,220,475,18,25,24,t,44,"Breads, cereals, fastfood,grains"
Muffins,1,48,135,4,5,4,t,19,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160,200,7,2,2,0.1,37,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236,150,5,3,2,4.6,26,"Breads, cereals, fastfood,grains"
Pancakes,4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
Wheat pancakes,4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
"14"" cheese Pizza",1 section,75,180,8,6,5,t,23,"Breads, cereals, fastfood,grains"
Salted Popcorn,2 cups,28,152,3,7,2,0.5,20,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14,55,t,t,0,t,12,"Breads, cereals, fastfood,grains"
Rice,1 cup,208,748,15,3,0,1.2,154,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30,115,2,t,0,0.1,26,"Breads, cereals, fastfood,grains"
Polish Rice,1/2 cup,50,132,6,6,0,1.2,28,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.50,35,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250,217,4,4,0,1.20,40,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,28,100,3,1,0,0.70,23,"Breads, cereals, fastfood,grains"
Waffles,1,75,240,8,9,1,0.10,30,"Breads, cereals, fastfood,grains"
unrefined wheat meal cereal,3/4 cup,30,103,4,1,0,0.70,25,"Breads, cereals, fastfood,grains"
cooked Wheat,3/4 cup,200,275,12,1,0,4.40,35,"Breads, cereals, fastfood,grains"
Bean soup,1 cup,250,190,8,5,4,0.60,30,Soups
Beef soup,1 cup,250,100,6,4,4,0.50,11,Soups
Bouillon,1 cup,240,24,5,0,0,0,0,Soups
chicken soup,1 cup,250,75,4,2,2,0,10,Soups
Clam chowder,1 cup,255,85,5,2,8,0.50,12,Soups
Cream soups,1 cup,255,200,7,12,11,1.20,18,Soups
Noodle,1 cup,250,115,6,4,3,0.20,13,Soups
Split pea soup,1 cup,250,147,8,3,3,0.50,25,Soups
Tomato soup,1 cup,245,175,6,7,6,0.50,22,Soups
Vegetable,1 cup,250,80,4,2,2,0,14,Soups
Apple betty,1 serving,100,150,1,4,0,0.5,29,"Desserts, sweets"
Bread pudding,3/4 cup,200,374,11,12,11,0.20,56,"Desserts, sweets"
Cakes,1 slice,40,110,3,t,0,0,23,"Desserts, sweets"
Chocolate fudge,1 slice,120,420,5,14,12,0.3,70,"Desserts, sweets"
Cupcake,1,50,160,3,3,2,t,31,"Desserts, sweets"
Fruit cake,1 slice,30,105,2,4,3,0.2,17,"Desserts, sweets"
Gingerbread,1 slice,55,180,2,7,6,t,28,"Desserts, sweets"
Sponge cake,1 slice,40,115,3,2,2,0,22,"Desserts, sweets"
Candy,5,25,104,t,3,3,0,19,"Desserts, sweets"
Chocolate creams,2,30,130,t,4,4,0,24,"Desserts, sweets"
Fudge,2 pieces,90,370,t,12,11,0.1,80,"Desserts, sweets"
Hard candies,1 oz.,28,90,t,0,0,0,28,"Desserts, sweets"
Marshmallows,5,30,98,1,0,0,0,23,"Desserts, sweets"
Milk chocolate,2 oz. bar,56,290,2,6,6,0.2,44,"Desserts, sweets"
Chocolate syrup,2 T.,40,80,t,t,t,0,22,"Desserts, sweets"
Doughnuts,1,33,135,2,7,4,t,17,"Desserts, sweets"
Gelatin,1 cup,239,155,4,t,t,0,36,"Desserts, sweets"
Honey,2 T.,42,120,t,0,0,0,30,"Jams, Jellies"
Ice cream,2 cups,300,250,0,0,12,10,0,"Desserts, sweets"
Jellies,1 T.,20,50,0,0,0,0,13,"Jams, Jellies"
Molasses,1 T.,20,45,0,0,0,8,11,"Jams, Jellies"
Cane Syrup,1 T.,20,50,0,0,0,0,13,"Jams, Jellies"
"9"" pie",1 slice,135,330,3,13,11,0.1,53,"Desserts, sweets"
Cherry Pie,1 slice,135,340,3,13,11,0.1,55,"Desserts, sweets"
Custard,1 slice,130,265,7,11,10,0,34,"Desserts, sweets"
Lemon meringue,1 slice,120,300,4,12,10,0.1,45,"Desserts, sweets"
Mince,1 slice,135,340,3,9,8,0.70,62,"Desserts, sweets"
Pumpkin Pie,1 slice,130,265,5,12,11,8,34,"Desserts, sweets"
Puddings Sugar,1 cup,200,770,0,0,0,0,199,"Desserts, sweets"
Sugar,1 T.,12,50,0,0,0,0,12,"Desserts, sweets"
Brown firm packed dark sugar,1 cup,220,815,0,t,0,0,210,"Jams, Jellies"
Syrup,2 T.,40,100,0,0,0,0,25,"Jams, Jellies"
Tapioca cream pudding,1 cup,250,335,10,10,9,0,42,"Desserts, sweets"
Almonds,1/2 cup,70,425,13,38,28,1.8,13,Seeds and Nuts
Brazil nuts,1/2 cup,70,457,10,47,31,2,7,Seeds and Nuts
Cashews,1/2 cup,70,392,12,32,28,0.9,20,Seeds and Nuts
Peanut butter,1/3 cup,50,300,12,25,17,0.9,9,Seeds and Nuts
Natural peanut butter,1/3 cup,50,284,13,24,10,0.9,8,Seeds and Nuts
Peanuts,1/3 cup,50,290,13,25,16,1.2,9,Seeds and Nuts
Pecans,1/2 cup,52,343,5,35,25,1.1,7,Seeds and Nuts
Sesame seeds,1/2 cup,50,280,9,24,13,3.1,10,Seeds and Nuts
Sunflower seeds,1/2 cup,50,280,12,26,7,1.9,10,Seeds and Nuts
Walnuts,1/2 cup,50,325,7,32,7,1,8,Seeds and Nuts
Beer,2 cups,480,228,t,0,0,0,8,"Drinks,Alcohol, Beverages"
Gin,1 oz.,28,70,0,0,0,0,t,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,120,164,t,0,0,0,9,"Drinks,Alcohol, Beverages"
Carbonated drinks with artificial sweetener,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,346,137,0,0,0,0,38,"Drinks,Alcohol, Beverages"
Fruit flavored soda,12 oz.,346,161,0,0,0,0,42,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,346,105,0,0,0,0,28,"Drinks,Alcohol, Beverages"
Root beer,12 oz.,346,140,0,0,0,0,35,"Drinks,Alcohol, Beverages"
Coffee,1 cup,230,3,t,0,0,0,1,"Drinks,Alcohol, Beverages"
Tea,1 cup,230,4,0,t,0,0,1,"Drinks,Alcohol, Beverages"
